"ubigeo","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
1310,3.47745448016289e-05,3.63085993348281e-05,3.64595380487936e-05,4.07848743259082e-05,3.48718853937009e-05,3.68884981245133e-05
1301,4.34863648556516e-05,4.42301976806104e-05,4.51486532408453e-05,4.97137985477507e-05,4.3094679421752e-05,4.63053184874387e-05
1312,4.07128063715033e-05,4.18826567438011e-05,4.20932974768323e-05,4.6760669627233e-05,4.03382299716977e-05,4.29675408609192e-05
1401,4.14195429686085e-05,4.33832008386647e-05,4.39690202791565e-05,4.82468563742015e-05,4.08973441587253e-05,4.40493617546983e-05
1402,3.88826976178745e-05,4.099188501128e-05,4.16094160231845e-05,4.58995878849109e-05,3.87655893582418e-05,4.17582948134377e-05
1403,3.8916818566131e-05,4.11972136089586e-05,4.21176823112777e-05,4.61434306703355e-05,3.92151834963917e-05,4.19128214656081e-05
1502,4.56174325814252e-05,4.5964472758603e-05,4.70368982152456e-05,5.16685157662212e-05,4.50246759665185e-05,4.81314075185071e-05
1503,3.70899242997496e-05,3.86099796403982e-05,3.83730272553706e-05,4.29440581625138e-05,3.64345118701359e-05,3.89346464436204e-05
1504,4.94541654641025e-05,4.72458096517971e-05,4.94085428026123e-05,5.64706844349728e-05,4.91863319661531e-05,5.21488225885602e-05
1505,4.84948712950496e-05,4.8434416441499e-05,4.94891852870018e-05,5.48866590066137e-05,4.76640907701025e-05,5.17227371926401e-05
1506,4.48140758440802e-05,4.45962739407505e-05,4.55896096871456e-05,5.10927624094923e-05,4.43562192486516e-05,4.74073487489928e-05
1507,5.05260374672466e-05,4.8060558520837e-05,5.02305457530627e-05,5.72182444327964e-05,4.8848664421828e-05,5.26319683291717e-05
1508,4.37986575895952e-05,4.39423001223102e-05,4.47129829123207e-05,4.94124256917756e-05,4.27929534595984e-05,4.58253130598074e-05
1509,3.6642798352485e-05,3.79471156104459e-05,3.75553398689479e-05,4.22266609489875e-05,3.58309107042643e-05,3.83103029538951e-05
1510,3.89003494852956e-05,3.9945635014605e-05,3.91258532324213e-05,4.3748079013067e-05,3.75096795115633e-05,4.03617408510876e-05
1602,3.43406734757023e-05,3.64051885112671e-05,3.78426888511368e-05,4.16143185828137e-05,3.59984384102685e-05,3.77021476769129e-05
1607,3.37139693937532e-05,3.56329618202796e-05,3.73822396192562e-05,4.10644202435328e-05,3.52151348350775e-05,3.69258270728878e-05
1603,3.36696053798598e-05,3.562279196074e-05,3.74928091195842e-05,4.12490691818127e-05,3.54231508014225e-05,3.71793936679261e-05
1604,3.37789486444984e-05,3.57053542347906e-05,3.77085986543067e-05,4.11644152080064e-05,3.5445865297457e-05,3.72376690916372e-05
1601,3.36964351940265e-05,3.5537871299553e-05,3.76866104350187e-05,4.1334139245401e-05,3.56644135796882e-05,3.72760186981868e-05
1608,3.36682043754566e-05,3.54340082137012e-05,3.77459454437696e-05,4.13264567485416e-05,3.57131045123172e-05,3.70002537277126e-05
1605,3.43772324386815e-05,3.62776913964683e-05,3.74623061088081e-05,4.18878422619737e-05,3.57754612625732e-05,3.78675800930915e-05
1606,3.5014900783317e-05,3.70103290618055e-05,3.79893859423485e-05,4.21971534377387e-05,3.60872022963792e-05,3.81947378503358e-05
1702,3.8255683261325e-05,4.04116704152637e-05,3.95590340711285e-05,4.41075785123099e-05,3.79998738466645e-05,4.16515383791127e-05
1703,3.7897387418333e-05,4.03217360866589e-05,3.98628964310808e-05,4.48662819956564e-05,3.85316906502885e-05,4.23595028915361e-05
1701,3.91091673759201e-05,4.14973739659809e-05,4.06987556312705e-05,4.53235296262274e-05,3.92984559409325e-05,4.3151628128982e-05
1802,4.24350201671232e-05,4.33879750683051e-05,4.24289733587725e-05,4.7108651078261e-05,4.16146663794044e-05,4.57741240064909e-05
1801,4.61518616754528e-05,4.643164857092e-05,4.59459004309327e-05,5.02028690259265e-05,4.66365154500647e-05,5.0480117653547e-05
1902,3.5486906789576e-05,3.70597594021261e-05,3.66045148671239e-05,4.11860986261377e-05,3.51414626919406e-05,3.75449423017619e-05
1903,3.61753367972784e-05,3.7966055205371e-05,3.76734362257225e-05,4.21203235667114e-05,3.54238811244326e-05,3.81059414883384e-05
1901,3.50143062085386e-05,3.65548177386328e-05,3.59320591683524e-05,4.0381210565228e-05,3.42699046779114e-05,3.66706210586651e-05
2002,3.59309031203009e-05,3.79339337105845e-05,3.95474476493e-05,4.30070361120391e-05,3.69981487435157e-05,3.87400039261694e-05
2003,3.42427716238435e-05,3.63084016362565e-05,3.74506796109921e-05,4.09558239963239e-05,3.51781705539929e-05,3.70658949537696e-05
2004,3.76271488445426e-05,4.02522628392517e-05,4.12783805300899e-05,4.49658699906305e-05,3.8336495294259e-05,4.05528240164064e-05
2005,3.98638718232047e-05,4.16417466693976e-05,4.34373666596995e-05,4.67152885483526e-05,4.11428987452089e-05,4.25491735645411e-05
2001,4.04439288636428e-05,4.2737611543546e-05,4.43413502529053e-05,4.78975624458642e-05,4.12603863879273e-05,4.3194153399242e-05
2008,3.82880474405485e-05,4.010962228022e-05,4.14171393484805e-05,4.49816997982718e-05,3.91964641279743e-05,4.10670614673294e-05
2006,4.03519822046057e-05,4.2826636035414e-05,4.44696377445481e-05,4.82315596215025e-05,4.12621744649817e-05,4.34949249102942e-05
2007,4.09164855834234e-05,4.28691123143277e-05,4.51504868317564e-05,4.73876915857748e-05,4.1675917051843e-05,4.32652160947271e-05
2102,3.86088091660062e-05,4.06547339903114e-05,3.86694552368026e-05,4.29593857563337e-05,3.87961096505046e-05,4.15674781404695e-05
2103,3.75658520403612e-05,3.95210507258147e-05,3.7956033746615e-05,4.19567493210309e-05,3.73987719463505e-05,4.03803647578147e-05
2104,4.10590277124616e-05,4.29530743185705e-05,4.10458695994697e-05,4.48659815978812e-05,4.03733709158287e-05,4.34647055675681e-05
2105,4.03183278911835e-05,4.19180993757305e-05,4.04172164817964e-05,4.44222346931844e-05,3.94045981206322e-05,4.2514558806011e-05
2106,3.86744167138711e-05,4.0730998946173e-05,3.88820502230516e-05,4.30879875793746e-05,3.83395660902071e-05,4.09014496613585e-05
2107,3.94431348007522e-05,4.09190269516839e-05,3.92376810795902e-05,4.37807610604535e-05,3.89791406826745e-05,4.1910770770496e-05
2108,3.79228645410284e-05,3.97732539597602e-05,3.80365344522903e-05,4.25016713508415e-05,3.85215968387631e-05,4.19133228404418e-05
2109,3.87795299147162e-05,4.0883552461286e-05,3.87403018103708e-05,4.28230437695479e-05,3.81260693223616e-05,4.08051605314956e-05
2101,4.09045283673546e-05,4.26508236980198e-05,4.07864995199975e-05,4.49906196594747e-05,4.03279969697727e-05,4.32546708991379e-05
2110,3.79233180604527e-05,3.97434803560517e-05,3.80367669176611e-05,4.2270635308225e-05,3.76716714378254e-05,4.03211340448486e-05
2111,4.1089125287338e-05,4.2760481072565e-05,4.10196121188649e-05,4.54910679406762e-05,4.08561719313068e-05,4.36403418376819e-05
2112,3.9127221126411e-05,4.11323581706455e-05,3.95199838648161e-05,4.34801120755379e-05,3.86869181462549e-05,4.18257273391753e-05
2113,4.21409272112366e-05,4.40432374361466e-05,4.21969926824169e-05,4.57946993440105e-05,4.13362470320101e-05,4.43913917123338e-05
2202,3.54382275518323e-05,3.75900326248496e-05,3.86294221905647e-05,4.29246222466777e-05,3.66832995104848e-05,3.92387514399028e-05
2203,3.43218533472395e-05,3.66206908366059e-05,3.78453481075957e-05,4.16374399646929e-05,3.55193840447508e-05,3.76711564350959e-05
2204,3.40269227872754e-05,3.63038169518842e-05,3.73116458191717e-05,4.13650507733123e-05,3.5550024129902e-05,3.79172202906308e-05
2205,3.46843905381546e-05,3.66138330669967e-05,3.78171227910961e-05,4.16122801075907e-05,3.57190332821924e-05,3.7580408857866e-05
2206,3.3760977602958e-05,3.56684038052935e-05,3.66240394130702e-05,4.06462295699561e-05,3.48072711281209e-05,3.66600127180393e-05
2201,3.2991230982959e-05,3.50142244888123e-05,3.60983974070022e-05,3.98204116425302e-05,3.3871435999073e-05,3.57211126453247e-05
2207,3.53767634371206e-05,3.7626533591897e-05,3.88395948765128e-05,4.27084842089827e-05,3.6918598127442e-05,3.93837316377366e-05
2208,3.29950701060028e-05,3.48954316069387e-05,3.60717244696876e-05,3.96027805993851e-05,3.40303352467848e-05,3.56214484646006e-05
2209,3.51709810747318e-05,3.70089347022485e-05,3.81694927369769e-05,4.19610923451676e-05,3.62559815436125e-05,3.79462196108923e-05
2210,3.46733014206792e-05,3.65044422514287e-05,3.70359304575557e-05,4.13003891051329e-05,3.51708229066371e-05,3.72331855110528e-05
2302,4.58007278580918e-05,4.49315189008619e-05,4.57124566902651e-05,5.11312389086626e-05,4.54043157633632e-05,5.07136721152469e-05
2303,4.81947393452717e-05,4.82745056491326e-05,4.82795087943231e-05,5.16625695887622e-05,4.81803630065665e-05,5.3202341972388e-05
2301,4.56976755788249e-05,4.65337489180789e-05,4.57780281258953e-05,4.89244129336263e-05,4.5024615977729e-05,4.92601825237139e-05
2304,4.26272540469645e-05,4.32453018645101e-05,4.29263751967038e-05,4.65930813078081e-05,4.1293382672681e-05,4.58578207157616e-05
2402,3.97013618937487e-05,4.16764264689349e-05,4.36719798470919e-05,4.6697058159054e-05,4.17212629188247e-05,4.2697202227333e-05
2401,3.90062490635351e-05,4.09367724312856e-05,4.27864934150485e-05,4.58489062092963e-05,4.11790766597967e-05,4.20256625695874e-05
2403,3.96870587082665e-05,4.12482847095148e-05,4.36051845714857e-05,4.63781864933167e-05,4.24014638018273e-05,4.29135056537568e-05
2502,3.66213757910966e-05,3.88786184399303e-05,3.86299524291372e-05,4.32722202332382e-05,3.65687464114281e-05,3.97183066365765e-05
2501,3.62271024046322e-05,3.81582970799764e-05,3.87186833820513e-05,4.36913489524873e-05,3.68152588100101e-05,3.96235127729016e-05
2503,3.6986301768049e-05,3.88228365715675e-05,3.92097183189609e-05,4.40874200276623e-05,3.73748161388878e-05,3.99451084462954e-05
2504,3.65997487234532e-05,3.88700130136965e-05,3.85704628456482e-05,4.35498345502847e-05,3.65492109611992e-05,4.00476137928058e-05
