"UBIGEO","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
"110201",4.59363004193811e-05,4.68828799266686e-05,4.64893280628858e-05,5.12529951145643e-05,4.52720097336163e-05,4.87792929129386e-05
"110202",4.60247807287557e-05,4.68146993879646e-05,4.6598522429821e-05,5.12021560301421e-05,4.53621716551901e-05,4.86728564692973e-05
"110203",4.18397137640309e-05,4.2707442666135e-05,4.19922305471106e-05,4.65036532201319e-05,4.02961643913934e-05,4.37194416047873e-05
"110204",4.64935438895533e-05,4.77397900751174e-05,4.70772245745418e-05,5.20187630211657e-05,4.61596941507851e-05,4.95858944205299e-05
"110205",4.47602939394771e-05,4.60320436209114e-05,4.53370828119373e-05,4.99125766653325e-05,4.45696719820206e-05,4.76033405186653e-05
"110206",4.66223527595767e-05,4.73636741239183e-05,4.69098541706493e-05,5.20732199932338e-05,4.59980765935677e-05,4.98045801598682e-05
"110207",4.53555897284043e-05,4.61796027347981e-05,4.5738618112622e-05,5.06267682315265e-05,4.47294305934381e-05,4.8000007413759e-05
"110208",4.03876621888888e-05,4.14215920964906e-05,4.09947916853339e-05,4.52425996056236e-05,3.91344638044412e-05,4.22746820954983e-05
"110209",3.77930682474537e-05,3.91383871082222e-05,3.80053016745511e-05,4.25885229625568e-05,3.62756316696126e-05,3.98151762341745e-05
"110210",4.66149193015756e-05,4.80429818309242e-05,4.74658572315905e-05,5.26988987066403e-05,4.6746029738063e-05,5.02119622533483e-05
"110211",4.58988141678846e-05,4.72580803314896e-05,4.63206269647124e-05,5.10382202195015e-05,4.53789176793298e-05,4.9092750323415e-05
"110301",4.43528254603445e-05,4.53988224768548e-05,4.47384173063789e-05,4.86707846448265e-05,4.38836481602278e-05,4.79905144436574e-05
"110302",4.29342357032398e-05,4.40860278515141e-05,4.29617524259602e-05,4.67384372681462e-05,4.23236921560433e-05,4.60120271174644e-05
"110303",4.36177444419916e-05,4.46382645079353e-05,4.38374777963369e-05,4.78030073669982e-05,4.29656776762708e-05,4.65784414148154e-05
