ubigeo,no2_mean_2019,no2_mean_2020,no2_mean_2021,no2_mean_2022,no2_mean_2023,no2_mean_2024
1302,4.213411176479477e-5,4.372289623596104e-5,4.4435220809976895e-5,4.8684182079877316e-5,4.2176568287759214e-5,4.507860446338188e-5
1303,3.297656999513025e-5,3.489351230439529e-5,3.5499663462045e-5,3.950362642496154e-5,3.359896853833408e-5,3.528072993234941e-5
1304,4.221674375564279e-5,4.4022797927965265e-5,4.444424436650342e-5,4.8864293302996384e-5,4.165851409296164e-5,4.509206734016077e-5
1311,3.687448236470749e-5,3.88247139678184e-5,3.915214619045004e-5,4.371125850796579e-5,3.7472835262655824e-5,3.968951839117131e-5
1305,3.607563676723837e-5,3.730896269046996e-5,3.744369612113896e-5,4.189029618703009e-5,3.569337324904793e-5,3.769069254654134e-5
1306,3.736082249738056e-5,3.910681061234529e-5,3.9323777361066274e-5,4.411976953434078e-5,3.7659038350535204e-5,4.0016817960467734e-5
1307,4.17854731103652e-5,4.3184027751657734e-5,4.400128840790735e-5,4.7916263916125085e-5,4.1822121317304835e-5,4.462322359330141e-5
1308,3.3226074671178566e-5,3.514606938330105e-5,3.5657609967637314e-5,3.967797120047674e-5,3.410655325485894e-5,3.573848066070979e-5
1309,3.434687055207077e-5,3.617796633082777e-5,3.6677120756217635e-5,4.1059636935267333e-5,3.504002132244992e-5,3.699957215640068e-5
1310,3.477454480162892e-5,3.630859933482809e-5,3.645953804879361e-5,4.0784874325908224e-5,3.4871885393700913e-5,3.688849812451333e-5
1301,4.348636485565164e-5,4.423019768061042e-5,4.5148653240845255e-5,4.971379854775069e-5,4.309467942175201e-5,4.6305318487438724e-5
1312,4.071280637150327e-5,4.188265674380107e-5,4.209329747683232e-5,4.676066962723296e-5,4.033822997169769e-5,4.296754086091924e-5
1401,4.141954296860849e-5,4.3383200838664704e-5,4.3969020279156506e-5,4.824685637420154e-5,4.089734415872533e-5,4.404936175469829e-5
1402,3.888269761787452e-5,4.0991885011279974e-5,4.160941602318449e-5,4.589958788491085e-5,3.876558935824178e-5,4.175829481343774e-5
1403,3.891681856613095e-5,4.1197213608958604e-5,4.211768231127772e-5,4.614343067033547e-5,3.921518349639171e-5,4.1912821465608136e-5
1502,4.5617432581425244e-5,4.5964472758603047e-5,4.703689821524561e-5,5.166851576622117e-5,4.502467596651846e-5,4.8131407518507075e-5
1503,3.708992429974956e-5,3.8609979640398244e-5,3.837302725537065e-5,4.294405816251382e-5,3.643451187013591e-5,3.8934646443620425e-5
1504,4.945416546410248e-5,4.724580965179706e-5,4.9408542802612284e-5,5.647068443497283e-5,4.9186331966153066e-5,5.2148822588560225e-5
1505,4.849487129504962e-5,4.843441644149903e-5,4.948918528700182e-5,5.488665900661369e-5,4.766409077010247e-5,5.172273719264013e-5
1506,4.48140758440802e-5,4.459627394075051e-5,4.5589609687145645e-5,5.109276240949234e-5,4.435621924865156e-5,4.740734874899282e-5
1507,5.0526037467246574e-5,4.8060558520836985e-5,5.02305457530627e-5,5.7218244432796384e-5,4.884866442182795e-5,5.263196832917171e-5
1508,4.379865758959517e-5,4.394230012231023e-5,4.471298291232068e-5,4.941242569177559e-5,4.2792953459598376e-5,4.5825313059807355e-5
1509,3.664279835248497e-5,3.7947115610445893e-05,3.755533986894788e-5,4.2226660948987495e-5,3.583091070426426e-5,3.8310302953895054e-5
1510,3.890034948529563e-5,3.9945635014605004e-05,3.912585323242129e-5,4.374807901306697e-5,3.7509679511563346e-5,4.03617408510876e-5
1602,3.434067347570226e-5,3.64051885112671e-5,3.784268885113676e-5,4.161431858281365e-5,3.599843841026851e-5,3.770214767691287e-5
1607,3.371396939375322e-5,3.563296182027964e-5,3.738223961925622e-5,4.106442024353277e-5,3.5215134835077505e-5,3.6925827072887766e-5
1603,3.366960537985975e-5,3.5622791960739974e-5,3.749280911958423e-5,4.1249069181812654e-5,3.542315080142245e-5,3.7179393667926136e-5
1604,3.3778948644498405e-5,3.5705354234790567e-5,3.77085986543067e-5,4.116441520800635e-5,3.544586529745697e-5,3.723766909163721e-5
1601,3.369643519402647e-5,3.5537871299552997e-5,3.768661043501873e-5,4.1334139245401025e-5,3.566441357968819e-5,3.727601869818682e-5
1608,3.366820437545656e-5,3.5434008213701224e-5,3.774594544376961e-5,4.1326456748541594e-5,3.571310451231722e-5,3.7000253727712605e-5
1605,3.437723243868153e-5,3.6277691396468335e-5,3.7462306108808096e-5,4.1887842261973715e-5,3.5775461262573244e-5,3.786758009309149e-5
1606,3.5014900783316956e-5,3.701032906180547e-5,3.798938594234853e-5,4.219715343773871e-5,3.6087202296379194e-5,3.819473785033581e-5
1702,3.8255683261325006e-5,4.0411670415263665e-5,3.9559034071128546e-5,4.410757851230988e-5,3.799987384666453e-5,4.1651538379112686e-5
1703,3.7897387418332976e-5,4.0321736086658866e-5,3.9862896431080833e-5,4.486628199565639e-5,3.853169065028853e-5,4.235950289153609e-5
1701,3.910916737592006e-5,4.1497373965980855e-5,4.0698755631270455e-5,4.532352962622737e-5,3.929845594093247e-5,4.3151628128981954e-5
1802,4.243502016712317e-5,4.3387975068305086e-5,4.2428973358772456e-5,4.710865107826096e-5,4.161466637940441e-5,4.577412400649089e-5
1801,4.615186167545279e-5,4.643164857092e-5,4.594590043093271e-5,5.020286902592652e-5,4.663651545006468e-5,5.048011765354696e-5
1902,3.548690678957598e-5,3.7059759402126115e-5,3.660451486712387e-5,4.118609862613772e-5,3.5141462691940644e-5,3.754494230176191e-5
1903,3.617533679727839e-5,3.796605520537097e-5,3.7673436225722465e-5,4.2120323566711385e-5,3.542388112443262e-5,3.810594148833844e-5
1901,3.50143062085386e-5,3.655481773863275e-5,3.5932059168352354e-5,4.0381210565227965e-5,3.4269904677911414e-5,3.667062105866515e-5
2002,3.5930903120300884e-5,3.793393371058446e-5,3.954744764929997e-5,4.300703611203911e-5,3.6998148743515735e-5,3.874000392616936e-5
2003,3.424277162384348e-5,3.630840163625649e-5,3.745067961099212e-5,4.0955823996323854e-5,3.517817055399295e-5,3.706589495376962e-5
2004,3.7627148844542564e-5,4.0252262839251706e-5,4.127838053008988e-5,4.4965869990630535e-5,3.8336495294259044e-5,4.0552824016406386e-5
2005,3.98638718232047e-5,4.1641746669397626e-5,4.343736665969948e-5,4.671528854835257e-5,4.1142898745208924e-5,4.254917356454108e-5
2001,4.044392886364281e-5,4.273761154354601e-5,4.4341350252905314e-5,4.7897562445864174e-5,4.126038638792727e-5,4.319415339924202e-5
2008,3.828804744054846e-5,4.0109622280220034e-5,4.1417139348480515e-5,4.498169979827182e-5,3.9196464127974276e-5,4.106706146732939e-5
2006,4.035198220460566e-5,4.282663603541402e-5,4.4469637744548086e-5,4.8231559621502526e-5,4.126217446498169e-5,4.349492491029421e-5
2007,4.09164855834234e-5,4.286911231432766e-5,4.515048683175644e-5,4.738769158577478e-5,4.167591705184305e-5,4.326521609472705e-5
2102,3.8608809166006206e-5,4.0654733990311415e-5,3.8669455236802646e-5,4.295938575633375e-5,3.879610965050462e-5,4.156747814046947e-5
2103,3.756585204036121e-5,3.95210507258147e-5,3.795603374661499e-5,4.195674932103086e-5,3.739877194635049e-5,4.0380364757814715e-5
2104,4.10590277124616e-5,4.295307431857046e-5,4.104586959946967e-5,4.486598159788117e-5,4.0373370915828726e-5,4.346470556756814e-5
2105,4.031832789118345e-5,4.191809937573053e-5,4.041721648179644e-5,4.442223469318438e-5,3.940459812063217e-5,4.2514558806011006e-5
2106,3.867441671387115e-5,4.073099894617302e-5,3.8882050223051566e-5,4.3087987579374604e-5,3.833956609020711e-5,4.0901449661358496e-5
2107,3.944313480075216e-5,4.091902695168392e-5,3.923768107959023e-5,4.378076106045347e-5,3.897914068267451e-5,4.1910770770495995e-5
2108,3.792286454102843e-5,3.977325395976018e-5,3.803653445229026e-5,4.250167135084153e-5,3.85215968387631e-5,4.191332284044183e-5
2109,3.87795299147162e-5,4.088355246128602e-5,3.874030181037076e-5,4.282304376954792e-5,3.812606932236161e-5,4.08051605314956e-5
2101,4.0904528367354616e-5,4.265082369801977e-5,4.078649951999749e-5,4.499061965947475e-5,4.032799696977267e-5,4.3254670899137904e-5
2110,3.792331806045265e-5,3.974348035605174e-5,3.803676691766107e-5,4.227063530822499e-5,3.767167143782545e-5,4.032113404484861e-5
2111,4.108912528733803e-5,4.2760481072564994e-5,4.101961211886492e-5,4.549106794067615e-5,4.085617193130678e-5,4.364034183768189e-5
2112,3.9127221126411e-5,4.113235817064552e-5,3.95199838648161e-5,4.3480112075537934e-5,3.868691814625488e-5,4.182572733917529e-5
2113,4.214092721123663e-5,4.40432374361466e-5,4.219699268241693e-5,4.579469934401047e-5,4.133624703201015e-5,4.439139171233381e-5
2202,3.543822755183234e-5,3.7590032624849644e-5,3.8629422190564734e-5,4.2924622246677684e-5,3.6683299510484835e-5,3.9238751439902774e-5
2203,3.4321853347239475e-5,3.662069083660591e-5,3.7845348107595715e-5,4.163743996469295e-5,3.551938404475083e-5,3.767115643509591e-5
2204,3.402692278727545e-5,3.63038169518842e-5,3.7311645819171696e-5,4.136505077331226e-5,3.555002412990204e-5,3.7917220290630785e-5
2205,3.468439053815465e-5,3.661383306699666e-5,3.781712279109613e-5,4.161228010759068e-5,3.571903328219243e-5,3.7580408857865996e-5
2206,3.3760977602958006e-5,3.566840380529347e-5,3.6624039413070234e-5,4.064622956995608e-5,3.4807271128120905e-5,3.666001271803928e-5
2201,3.299123098295897e-5,3.501422448881231e-5,3.609839740700216e-5,3.9820411642530224e-5,3.3871435999073015e-5,3.5721112645324714e-5
2207,3.537676343712063e-5,3.762653359189705e-5,3.8839594876512794e-5,4.27084842089827e-5,3.6918598127442026e-5,3.938373163773662e-5
2208,3.299507010600278e-5,3.4895431606938744e-5,3.607172446968759e-5,3.960278059938507e-5,3.4030335246784825e-5,3.562144846460061e-5
2209,3.517098107473178e-5,3.700893470224845e-5,3.816949273697686e-5,4.196109234516756e-5,3.625598154361251e-5,3.794621961089235e-5
2210,3.467330142067922e-5,3.650444225142868e-5,3.7035930457555744e-5,4.130038910513294e-5,3.517082290663709e-5,3.723318551105281e-5
2302,4.580072785809183e-5,4.4931518900861875e-5,4.571245669026511e-5,5.113123890866259e-5,4.540431576336319e-5,5.0713672115246895e-5
2303,4.819473934527171e-5,4.8274505649132624e-5,4.8279508794323096e-5,5.166256958876223e-5,4.818036300656648e-5,5.320234197238803e-5
2301,4.569767557882494e-5,4.653374891807887e-5,4.577802812589533e-5,4.892441293362633e-5,4.5024615977729017e-5,4.9260182523713895e-5
2304,4.262725404696449e-5,4.324530186451007e-5,4.2926375196703806e-5,4.659308130780811e-5,4.1293382672681004e-5,4.5857820715761585e-5
2402,3.970136189374873e-5,4.167642646893487e-5,4.367197984709188e-5,4.6697058159054e-5,4.1721262918824694e-5,4.2697202227332985e-5
2401,3.900624906353509e-5,4.0936772431285617e-5,4.278649341504851e-5,4.5848906209296336e-5,4.1179076659796715e-5,4.202566256958736e-5
2403,3.9687058708266494e-5,4.124828470951478e-5,4.360518457148568e-5,4.6378186493316655e-5,4.240146380182734e-5,4.291350565375678e-5
2502,3.662137579109662e-5,3.887861843993031e-5,3.8629952429137245e-5,4.327222023323821e-5,3.656874641142807e-5,3.9718306636576524e-5
2501,3.622710240463217e-5,3.815829707997635e-5,3.871868338205132e-5,4.369134895248729e-5,3.681525881001011e-5,3.962351277290164e-5
2503,3.698630176804901e-5,3.882283657156746e-5,3.920971831896088e-5,4.408742002766227e-5,3.737481613888777e-5,3.994510844629542e-5
2504,3.65997487234532e-5,3.887001301369648e-5,3.857046284564816e-5,4.35498345502847e-5,3.6549210961199165e-5,4.0047613792805764e-5
